４文字集合	可能な４文字単語
いきごみ	意気込み
いきさし	色彩
いきさつ	いきさつ
いきさん	最近:細菌
いきざせ	在籍
いきしじ	自意識
いきしせ	正式
いきしっ	一式（いっしき）
いきしび	美意識
いきしむ	無意識
いきすて	水滴
いきせせ	成績
いきせた	退席
いきせつ	追跡
いきせて	適性:適正
いきせの	気のせい
いきせょ	逝去
いきせる	累積
いきせれ	西暦
いきぜぬ	税抜き
いきぜん	全域:税金
いきそつ	付き添い
いきただ	頂き
いきたて	敵対
いきため	ため息
いきたょ	巨体
いきたん	退勤
いきだん	代金:近代
いきちん	いんちき
いきっと	一時（いっとき）
いきつま	毎月（まいつき）
いきつん	均一
いきてふ	不定期
いきてれ	適齢
いきとひ	一息
いきどま	今時
いきのも	生き物
いきばん	ばい菌
いきひめ	ひいき目
いきふん	雰囲気
いきへん	平均
いきむめ	無記名
いきもや	焼き芋
いきやろ	焼き色
いきろん	金色（きんいろ）
いぎくす	食い過ぎ
いぎすり	イギリス
いぎにわ	にぎわい
いぎろん	銀色（ぎんいろ）
いくけこ	警告
いくけそ	計測
いくけぞ	継続
いくけに	鶏肉
いくけや	契約
いくこさ	国際
いくこざ	小細工
いくこて	定刻
いくこな	国内
いくこべ	米国
いくこみ	食い込み
いくこめ	国名
いくさせ	作成:作製:制作:政策:製作
いくさそ	催促
いくさた	対策
いくさは	白菜
いくさぶ	不細工
いくさむ	無作為
いくさめ	名作
いくさる	サイクル
いくさん	索引
いくざた	在宅
いくざも	モザイク:木材:材木
いくしほ	保育士
いくしむ	虫食い
いくしょ	移植:衣食
いくすそ	推測
いくせぞ	属性
いくせと	特性:特製
いくせに	肉声
いくせふ	制服:複製
いくせや	製薬:誓約
いくせよ	性欲:抑制
いくせわ	惑星
いくぜた	贅沢
いくそて	低速:測定
いくぞは	配属
いくたつ	退屈
いくたに	肉体
いくたは	宅配
いくたり	大陸
いくだと	特大
いくだふ	大福
いくちど	一読
いくつは	発育
いくてと	特定
いくては	ハイテク
いくとば	特売
いくとふ	不得意
いくとめ	匿名
いくとれ	特例
いくなふ	内服
いくなわ	枠内
いくにる	肉類
いくのみ	飲み食い
いくのも	食い物
いくはぼ	敗北
いくはま	白米
いくぶろ	胃袋
いくべほ	北米
いくみれ	組み入れ
いくめわ	迷惑
いくめん	面食い
いくやん	役員
いくょり	威力
いくらら	落雷
いぐすり	胃薬
いぐすん	スイング
いぐちと	糸口
いぐちり	入（い）り口
いぐちん	一軍
いぐつな	償い
いぐはや	早食い
いけけん	経験
いけげん	原型:原形:軽減
いけさっ	決済
いけさつ	採血:警察
いけさん	計算
いけざん	健在
いけした	しいたけ
いけしゃ	傾斜
いけしん	消印:神経
いけせっ	設計
いけせつ	清潔
いけせん	罫線
いけそん	尊敬
いけたつ	対決
いけため	ため池
いけたん	体験
いけちづ	位置付け
いけって	決定:決定［法］
いけっん	一件:一見（いっけん）
いけつれ	系列
いけつん	欠員
いけてん	典型:検定
いけなん	圏内
いけはん	半径:拝見
いけひん	景品
いけぶり	経理部
いけぶん	文系
いけへん	変形
いけめん	賢明
いけれん	連携
いけろわ	色分け
いげさつ	歳月
いげさん	再現
いげせん	制限
いげつま	毎月（まいげつ）
いげつら	来月
いげてん	低減:提言:限定
いげにん	芸人
いげめん	名言:明言
いげんん	原因
いこごち	居心地
いこざん	混在
いこすみ	吸い込み
いこぜみ	税込み
いこだな	こないだ
いこだん	大根
いこてれ	てこ入れ
いことび	恋人
いこのり	居残り
いこばよ	横ばい
いこるー	イコール
いごつろ	いつごろ
いごまろ	今ごろ
いささん	採算
いさざん	散財:財産
いさしゅ	主催:主菜
いさしょ	最初
いさしれ	差し入れ
いさしん	再診:最新:震災
いさじつ	祭日
いさじん	じいさん:人災
いさすつ	推察
いさせん	清算:生産:精算:賛成:酸性
いさぜん	最善
いさたん	最短:退散
いさちひ	被災地
いさつは	再発
いさつま	歳末
いさつん	印刷
いさてん	天才:天災:採点
いさなん	災難
いさにん	兄さん
いさばん	三倍:裁判
いさへん	再編:返済
いさまん	三昧:三枚:満載
いさめん	名産
いされん	サイレン:連載
いざしつ	材質
いざせん	洗剤:潜在
いざそん	存在
いざてん	暫定
いざはん	犯罪
いざまん	漫才
いざわわ	災い
いしすん	推進:水深:浸水
いしせつ	性質
いしせゅ	清酒
いしせん	申請:精神
いしたつ	体質:退室
いしたま	魂（たましい）
いしたゃ	代謝:退社
いしたゅ	主体
いしたょ	対処:所帯:書体:退所
いしたん	耐震:身体:進退
いしだと	大都市
いしだな	台なし
いしだれ	出し入れ
いしつな	室内
いしつれ	失礼
いしつん	追伸
いしてゃ	停車
いしてん	進呈
いしでん	遺伝子
いしとま	毎年（まいとし）
いしなゃ	社内:車内
いしなょ	内緒
いしなん	内心
いしはゃ	廃車:敗者:歯医者
いしはら	支払い
いしはん	配信
いしぱん	心配
いしへゃ	弊社
いしまん	新米
いしむる	虫類
いしめゃ	社名
いしめょ	名所:書名:署名
いしめろ	白い目
いしめん	迷信
いしゃら	来社
いしゃれ	謝礼:謝礼［〜金］
いしゃん	社員
いしゅる	種類
いしゅん	飲酒
いしょる	書類
いしらん	信頼
いしりん	新入り
いしるん	親類
いしれん	心霊
いじせん	人生:成人
いじたち	自治体
いじたん	人体:対人
いじつへ	平日
いじつめ	実名
いじつれ	実例
いじなま	まじない
いじむん	事務員
いじめん	人名:人命:名人
いじるん	人類
いじろろ	色白
いじんん	人員
いすすぱ	スパイス
いすせっ	節水
いすせん	推薦:水洗
いすたる	スタイル
いすちっ	スイッチ
いすつぼ	水没
いすてば	バス停
いすとら	イラスト
いすとー	スイート
いすどら	スライド
いすなま	マイナス
いすのも	吸い物
いすはん	炊飯
いすふん	噴水
いすぶん	水分
いすぷら	プライス
いすぺん	スペイン
いすまる	スマイル
いすまん	満水
いすみん	睡眠
いずたら	いたずら
いずみろ	水色
いせせっ	節制
いせせん	先制:先生
いせぜん	前世（ぜんせい）:生前
いせたっ	接待:達成
いせたん	対戦:生誕
いせだん	先代:男性
いせっつ	一説
いせって	設定
いせっは	発声:発生
いせっれ	劣勢
いせっん	一戦:一線
いせつぶ	生物（せいぶつ）
いせつべ	性別
いせつめ	説明
いせつり	成立
いせつれ	整列
いせてん	晴天:選定:青天
いせとん	整頓
いせなん	内線
いせねん	青年
いせはん	反省:敗戦:配線
いせぱん	先輩
いせひん	品性:製品
いせぶん	成分
いせべん	せんべい
いせもん	正門
いせろん	正論
いぜたん	全体
いぜつり	税率
いぜてん	前提
いぜめん	免税
いぜれん	前例
いぜんん	全員
いぞふろ	不ぞろい
いたたん	単体
いただま	ただ今
いただん	団体:対談
いたちつ	ついたち
いたちり	立ち入り
いたちん	賃貸
いたって	撤退
いたっり	立体
いたっん	一端
いたつね	耐熱
いたつは	配達
いたつり	対立
いたとる	タイトル
いたなま	まな板
いたにん	忍耐
いたはん	反対:大半
いたへん	変態:大変
いたほん	本体
いたまー	タイマー
いためら	ためらい
いためん	対面:明太（めんたい）
いたらー	ライター
いたわん	台湾
いだちら	いら立ち
いだつつ	逸脱
いだつて	手伝い
いだてん	断定
いだなん	難題
いだねん	年代
いだはろ	肌色
いだふみ	踏み台
いだほん	本題
いだもん	問題
いだやる	ダイヤル
いだれん	冷暖
いちちに	一日（いちにち）
いちっふ	不一致
いちつり	一律
いちつれ	一列
いちどめ	知名度
いちにま	毎日
いちにめ	命日
いちねん	一年
いちばん	一番
いちまん	一万:万一
いちむゃ	チャイム
いちめょ	著名
いちめん	一面
いちゃろ	茶色
いちらん	一覧
いちれん	一連
いってて	徹底
いってに	日程
いつつと	追突
いつなん	捺印
いつねへ	平熱
いつのま	いつの間（ま）
いつはば	発売
いつはめ	発明
いつはれ	配列・排列
いつばり	倍率
いつぶめ	名物
いつべめ	別名（べつめい）
いつやろ	色つや
いつゆり	梅雨入り
いつりわ	偽り
いてでん	停電
いてなん	店内
いてにん	認定
いてねん	定年:定年・停年
いてはん	判定
いてばん	売店:定番:転売
いてびよ	予定日
いてへん	底辺:閉店
いてめん	名店
いてらん	来店
いてりん	インテリ
いてんん	店員
いではり	出入（ではい）り
いとどま	戸惑い
いとなみ	営み
いとびり	飛び入り
いとふら	フライト
いとべん	イベント
いとほわ	ホワイト
いとぽん	ポイント
いとりれ	取り入れ
いどめよ	酔い止め
いどりろ	彩り
いなにろ	何色（なにいろ）
いなねん	年内［〜立春］
いなべん	南米
いなまー	マイナー
いなみら	見習い
いなめん	内面
いにのま	二の舞
いにまめ	二枚目
いねぱん	年輩:年輩・年配:年配
いねまん	毎年（まいねん）
いねむり	居眠り
いねらん	来年
いねれん	例年:年齢
いねんん	因縁（いんねん）
いのひり	日の入り
いのもり	物入り
いのもれ	入れ物:物入れ
いはばん	販売
いはふん	ハイフン
いはぶん	配分
いはべん	米飯
いはみら	未払い
いはめん	判明
いはょり	配慮
いはらる	来春（らいはる）
いはれん	凡例
いばまん	毎晩
いばもる	モバイル
いばらる	ライバル
いぱまん	満杯
いぱれん	連敗
いひめん	品名
いひらん	来賓
いふほん	不本意
いふまる	振る舞い
いふめよ	不名誉
いふれん	インフレ
いぶみる	身震い
いぶめん	文明
いぶるん	分類
いぶれん	例文
いへめん	平面
いへれん	返礼
いほめん	本命
いほよろ	ほろ酔い
いほらん	本来
いまんん	満員
いめもん	名門
いめるん	麺類
いめれん	冷麺:連名
いももろ	桃色
いよるわ	悪酔い
ううおそ	相応
ううおと	応答
ううおど	王道
ううおよ	応用
ううくこ	空港:航空
ううくそ	空想
ううぐす	偶数
ううぐそ	遭遇
ううぐゆ	優遇
ううここ	孝行:高校
ううこご	皇后
ううこそ	走行:高層
ううこぞ	構造
ううこつ	交通:通行
ううこと	口頭:投稿:登校:高騰
ううこど	公道:動向:同行（どうこう）:行動
ううこの	効能
ううこふ	風向
ううこほ	工法:広報:後方:方向
ううこぼ	攻防:暴行
ううこゆ	交友:友好:有効
ううこよ	公用:効用:紅葉（こうよう）
ううこん	好運:幸運:幸運・好運:運航:運行
ううごそ	総合
ううごと	統合
ううごほ	合法
ううすそ	総数
ううすど	同数
ううずゆ	融通
ううそぞ	創造:想像
ううそと	相当:逃走
ううそど	騒動
ううそほ	包装:双方:放送
ううそぼ	暴走
ううそも	妄想
ううそゆ	郵送
ううそん	運送
ううぞと	贈答
ううちゅ	宇宙
ううつほ	通報
ううつよ	腰痛:通用
ううとど	同等
ううとふ	封筒
ううとぼ	冒頭:逃亡
ううとよ	東洋
ううどふ	同封
ううどほ	報道
ううどゆ	誘導
ううどよ	動揺
ううどろ	労働
ううどん	運動
ううふぼ	暴風
ううふよ	洋風
ううほほ	方法
ううほろ	朗報
ううぼよ	要望
ううょり	雨量
ううよん	運用
うえおん	応援
うえきゆ	有益
うえぎみ	右上
うえこん	公園:公演:講演
うえごた	歌声
うえした	上下（うえした）
うえしと	年上
うえすと	ウエスト
うえそん	演奏
うえたっ	訴え
うえちは	鉢植え
うえつゆ	優越
うえでま	腕前
うえどん	えんどう:沿道
うえのん	農園
うえぽん	遠方
うえまり	前売り
うおかん	王冠
うおきて	適応
うおくこ	王国
うおくふ	往復
うおこつ	甲乙
うおこん	高温:高音
うおせつ	応接
うおそん	騒音
うおだん	横断
うおちね	お値打ち［〜品］
うおつと	凹凸（おうとつ）
うおとと	弟
うおぷん	温風
うおぼん	防音
うおらん	卵黄
うかきゅ	休暇
うかきょ	強化
うかくご	合格
うかくと	格闘
うかくん	空間
うかこっ	格好
うかこん	交換:好感:観光
うかごほ	放課後
うかごり	合理化
うかしょ	消化
うかじよ	自家用
うかそつ	総括
うかそん	乾燥:感想
うかぞん	かんぞう:肝臓
うかたほ	片方
うかたら	裏方
うかたり	売り方
うかちど	地下道
うかちゅ	中華:家中
うかちょ	課長:超過
うかつど	活動
うかつよ	活用
うかつん	痛感
うかとん	カウント:投函:関東
うかどん	同感:感動
うかにゅ	入荷:加入
うかのふ	不可能
うかひょ	評価
うかびよ	火曜日
うかぷん	完封
うかぼん	防寒
うかゆん	勧誘:夕刊
うがきわ	上書き［ファイルの〜］
うがくこ	工学:高額
うがくそ	総額
うがくつ	通学
うがくほ	方角:邦楽
うがくよ	洋楽
うがしよ	洋菓子
うがたゆ	夕方
うがちわ	内側
うがみわ	海側
うがらわ	裏側
うがろん	老眼
うききで	利き腕
うきくせ	空席
うきくょ	苦境
うきぐろ	気苦労
うきけひ	引き受け
うきげこ	攻撃
うきげつ	激痛:激痛・劇痛
うきこし	公式
うきこせ	功績
うきこひ	飛行機
うきこゅ	呼吸
うきこょ	故郷
うきこん	抗菌:近郊
うきごて	適合
うきごみ	身動き
うきしす	数式
うきしほ	方式
うきしゅ	休止:周期:急死:支給:至急
うきしょ	教師:正気:気象:試供:起床
うきしよ	様式:洋式
うきじそ	掃除機
うきすろ	キロ数
うきせど	同席
うきせほ	宝石
うきそつ	うそつき
うきそん	送金
うきぞん	ぞうきん
うきちむ	内向き
うきちゅ	中期:地球:窮地
うきちょ	記帳:長期
うきつむ	うつむき
うきつん	通勤
うきてよ	適用
うきとん	均等
うきどり	売り時
うきにゅ	記入
うきひょ	表記
うきふゅ	普及:給付
うきふょ	不況:恐怖
うきぶよ	不器用
うきほゅ	補給
うきほょ	補強
うきぼり	浮き彫り
うきみょ	興味
うきむゅ	無休
うきむわ	上向き（うわむき）
うきやゅ	野球
うきゅゆ	給油
うきゅよ	給与
うきゅり	きゅうり
うきゆょ	教諭
うきゆれ	売れ行き
うきゆん	金融
うきょよ	許容
うきよん	金曜
うきりれ	売り切れ
うきろん	勤労
うきんん	金運
うぎこん	銀行
うぎすり	薄切り
うぎらり	裏切り
うくくは	空白
うくくふ	空腹
うくここ	広告
うくこさ	工作
うくこそ	拘束:高速:高速［〜を走る］
うくこぞ	後続
うくこち	構築
うくこど	国道:講読:購読
うくこふ	幸福
うくこほ	国宝:報告
うくこも	項目
うくこら	行楽
うくごふ	複合
うくごろ	御苦労
うくさそ	創作
うくしつ	空室
うくしょ	苦笑
うくじん	くじ運
うくすふ	複数
うくそぞ	相続
うくそと	即答
うくそど	独走
うくその	即納
うくそふ	服装:風速
うくそほ	法則:速報
うくそよ	浴槽
うくそろ	蝋燭（ろうそく）
うくぞほ	続報
うくぞも	木造
うくちょ	口調
うくつふ	腹痛（ふくつう）
うくつや	通訳
うくとほ	東北
うくとよ	徳用・得用
うくとろ	登録
